date,rail_mrt_kajang,rail_mrt_pjy,rail_lrt_kj,rail_lrt_ampang,rail_monorail,bus_rkl
2024-06-20,250229,146558.0,265578,193956,53377,216742.0
2024-06-21,251368,139848.0,257011,194890,55732,216614.0
2024-06-22,188870,95667.0,150885,142584,47404,155102.0
2024-06-23,160595,80777.0,130408,130091,41616,145528.0
2024-06-24,244282,145191.0,256702,189584,52722,221117.0
2024-06-25,255156,150199.0,273199,194186,53506,221872.0
2024-06-26,259838,151871.0,275959,196416,54934,224543.0
2024-06-27,255210,149007.0,270789,194265,54446,223293.0
2024-06-28,258172,147390.0,265508,195212,57884,220293.0
2024-06-29,202785,99383.0,164337,140938,51657,159861.0
2024-06-30,169715,81318.0,137399,120543,47363,149938.0
2024-07-01,252569,150225.0,268960,195781,55157,230685.0
2024-07-02,261783,155665.0,282862,200482,56567,233316.0
2024-07-03,268765,159991.0,289412,203010,57082,235123.0
2024-07-04,264607,155893.0,286994,202097,57609,232014.0
2024-07-05,266888,155970.0,282608,207116,61013,232055.0
2024-07-06,206645,101023.0,172441,142730,56046,166246.0
2024-07-07,203848,92936.0,157584,132547,57455,160495.0
2024-07-08,165449,82489.0,134575,115556,42438,141950.0
2024-07-09,263047,156259.0,280219,200793,56539,231844.0
2024-07-10,270141,159400.0,289561,205059,58792,232059.0
2024-07-11,266658,159483.0,286550,203117,57623,235389.0
2024-07-12,263438,155710.0,272404,201799,60149,229421.0
2024-07-13,197531,99733.0,168997,140503,51341,164920.0
2024-07-14,166721,78833.0,145532,120570,46527,155137.0
2024-07-15,252958,152523.0,267546,196946,55544,232392.0
2024-07-16,262939,158717.0,284143,201215,54769,237481.0
2024-07-17,269546,160676.0,287944,203820,55063,238258.0
2024-07-18,263117,157487.0,280222,201041,55062,234917.0
2024-07-19,267317,156915.0,276902,203725,47692,228243.0
2024-07-20,208405,105712.0,171208,144224,51709,161181.0
2024-07-21,166368,81655.0,136580,120702,44861,153555.0
2024-07-22,248534,153039.0,269822,196906,54640,234536.0
2024-07-23,263178,159136.0,282154,200663,53465,239328.0
2024-07-24,265491,159742.0,283903,200489,53975,239220.0
2024-07-25,263951,158432.0,281000,201412,54526,237772.0
2024-07-26,264920,155741.0,275418,203776,58401,231959.0
2024-07-27,199172,99989.0,165456,157058,52047,164916.0
2024-07-28,169794,81246.0,140308,123404,46862,151760.0
2024-07-29,250926,151511.0,267116,194951,54776,226337.0
2024-07-30,264383,159361.0,283005,200996,56368,234223.0
2024-07-31,272244,161644.0,288374,204121,57595,236277.0
2024-08-01,265899,159039.0,283299,204262,57175,236564.0
2024-08-02,265155,155798.0,275437,205429,61655,231322.0
